SN,mjd obs,flux (mJy),RMS(mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status,type,rms(lum)
SN2018hon,58585.0,0.52,0.137,58416.26899,168.73101,0.4622767397,0.081,9.01e+28,new_VLASS,real,IIn,2.3736165369144825e+28
SN2018hon,59549.0,1.803,0.198,58416.26899,1132.73101,3.10337263,0.081,3.12e+29,new_VLASS,real,IIn,3.430482294226771e+28
SN2018hon,60480.0,0.372,0.137,58416.26899,2063.73101,5.654057562,0.081,6.45e+28,new_VLASS,real,IIn,2.3736165369144825e+28
SN2018hon,60826.70367,0.532,0.089,58416.26899,2410.43468,6.60393063,0.081,9.22e+28,25A-386 upper,upper,IIn,1.5419844655867807e+28
SN2019aur,58652.0,0.977,0.146,58526.26199,125.7380093,0.3444876966,0.0124,3.6000000000000004e+27,new_VLASS,real,IIb,5.373600831322818e+26
SN2019aur,59499.0,0.414,0.154,58526.26199,972.7380093,2.665035642,0.0124,1.52e+27,new_VLASS,real,IIb,5.668044712491192e+26
SN2019aur,60470.0,0.359,0.114,58526.26199,1943.738009,5.325309614,0.0124,1.3200000000000002e+27,new_VLASS,real,IIb,4.195825306649324e+26
SN2019aur,60840.76803,0.365,0.075,58526.26199,2314.506039,6.341112436,0.0124,1.3400000000000002e+27,25A-386 Observations,real,IIb,2.7604113859535025e+26
SN2019njv,58031.0,0.289,0.111,58707.29899,-676.29899,-1.852873945,0.01458,1.4800000000000002e+27,new_VLASS,real,IIn,5.666695487597427e+26
SN2019njv,59070.0,0.697,0.194,58707.29899,362.70101,0.9937013973,0.01458,3.5600000000000005e+27,new_VLASS,real,IIn,9.903954275620729e+26
SN2019njv,59978.0,8.017,0.698,58707.29899,1270.70101,3.48137263,0.01458,4.09e+28,new_VLASS,real,IIn,3.563381486795499e+27
SN2019njv,60823.48927,5.902,0.48,58707.29899,2116.19028,5.797781589,0.01458,3.01e+28,25A-386 Observations,real,IIn,2.4504629135556443e+27
SN2019njv,59576.533,2.056,0.34,58707.29899,868.0,2.378082192,0.01458,1.05e+28,ASKAP Observations,real,IIn,1.7357445637685816e+27
SN2019pqo,58584.0,0.367,0.125,58733.21242,-149.21242,-0.4088011507,0.01413,1.76e+27,new_VLASS,real,IIb,5.9895320375826436e+26
SN2019pqo,59533.0,0.359,0.128,58733.21242,799.78758,2.191198849,0.01413,1.7200000000000002e+27,new_VLASS,real,IIb,6.133280806484628e+26
SN2019pqo,60481.0,0.938,0.158,58733.21242,1747.78758,4.788459123,0.01413,4.49e+27,new_VLASS,real,IIb,7.570768495504462e+26
SN2019pqo,60827.12607,2.045,0.299,58733.21242,2093.91365,5.736749726,0.01413,9.800000000000001e+27,25A-386 Observations,real,IIb,1.4326960633897682e+27
SN2019wqq,58628.0,0.436,0.137,58828.4286,-199.839,-0.5475041096,0.01123,1.3300000000000002e+27,new_VLASS,real,IIb,4.128419363743459e+26
SN2019wqq,59545.0,0.45,0.152,58828.4286,717.161,1.964824658,0.01123,1.37e+27,new_VLASS,real,IIb,4.580436082401501e+26
SN2019wqq,60461.0,3.15,0.212,58828.4286,1632.571,4.47279726,0.01123,9.600000000000001e+27,new_VLASS,real,IIb,6.388502957033672e+26
SN2019wqq,60881.82798,5.705,0.569,58828.4286,2053.399,5.625750685,0.01123,1.74e+28,25A-386 Observations,real,IIb,1.7146500861095092e+27
SN2019yvs,58590.0,0.364,0.157,58845.55899,-255.55899,-0.7001616164,0.0255,5.780000000000001e+27,new_VLASS,real,Ib,2.491892954216617e+27
SN2019yvs,59488.0,0.389,0.126,58845.55899,642.44101,1.760112356,0.0255,6.170000000000001e+27,new_VLASS,real,Ib,1.9998631352311703e+27
SN2019yvs,60471.0,0.894,0.148,58845.55899,1625.44101,4.453263041,0.0255,1.4200000000000001e+28,new_VLASS,real,Ib,2.3490455874143904e+27
SN2019yvs,60828.05281,0.713,0.076,58845.55899,1982.49382,5.431489918,0.0255,1.13e+28,25A-386 Observations,real,Ib,1.206266652996579e+27
SN2020aqe,58157.0,0.411,0.122,58871.575,-714.575,-1.957739726,0.01225,1.4800000000000002e+27,new_VLASS,real,II,4.38130133966308e+26
SN2020aqe,59154.0,1.946,0.199,58871.575,282.425,0.7737671233,0.01225,6.990000000000001e+27,new_VLASS,real,II,7.146548906499615e+26
SN2020aqe,60098.0,0.648,0.209,58871.575,1226.425,3.360068493,0.01225,2.3300000000000002e+27,new_VLASS,real,II,7.505671967127734e+26
SN2020aqe,60827.03267,2.614,0.313,58871.575,1955.45767,5.357418274,0.01225,9.390000000000001e+27,25A-386 upper,upper,II,1.1240551797660198e+27
SN2020adhh,58580.0,0.413,0.153,59200.3116,-629.639,-1.725038356,0.022,4.96e+27,new_VLASS,upper,II,1.798194083738426e+27
SN2020adhh,59506.0,1.479,0.148,59200.3116,296.361,0.8119479452,0.022,1.7800000000000002e+28,new_VLASS,real,II,1.7394295711979544e+27
SN2020adhh,60435.0,0.697,0.123,59200.3116,1234.688,3.382706849,0.022,8.370000000000001e+27,new_VLASS,real,II,1.4456070084955974e+27
SN2020adhh,60852.602,1.6,0.571,59200.3116,1652.29,4.526821918,0.022,1.9200000000000002e+28,25A-386 Observations,real,II,6.710907332121837e+27
SN2020adhh,59572.903,0.177,0.23,59200.3116,371.0,1.016438356,0.022,2.0800000000000003e+27,ASKAP Observations,real,II,2.7031675768616864e+27
SN2020nec,58551.0,0.347,0.144,59021.587,-479.769,-1.314435616,0.045,1.84e+28,new_VLASS,real,II,7.322508979231434e+27
SN2020nec,59530.0,0.507,0.109,59021.587,499.231,1.367756164,0.045,2.6900000000000003e+28,new_VLASS,real,II,5.542732491223794e+27
SN2020nec,60486.0,0.289,0.112,59021.587,1464.413,4.012090411,0.045,1.5400000000000001e+28,new_VLASS,real,II,5.695284761624449e+27
SN2020nec,60853.5226,0.082,0.021,59021.587,1831.936,5.01900274,0.045,4.3600000000000004e+27,25A-386 Observations,real,II,1.0678658928045841e+27
SN2020ywx,58121.0,0.314,0.161,59157.62,-1036.62,-2.840054795,0.0217,3.59e+27,new_VLASS,real,IIn,1.8401437463646035e+27
SN2020ywx,59051.0,0.359,0.12,59157.62,-106.62,-0.292109589,0.0217,4.1e+27,new_VLASS,real,IIn,1.371535711576102e+27
SN2020ywx,59969.0,2.923,0.253,59157.62,811.38,2.222958904,0.0217,3.34e+28,new_VLASS,real,IIn,2.8916544585729484e+27
SN2020ywx,60839.16554,1.521,0.16,59157.62,1681.54554,4.606974082,0.0217,1.74e+28,25A-386 Observations,real,IIn,1.8287142821014694e+27
SN2021aefs,58157.0,0.511,0.13,59527.272,-1370.272,-3.754169863,0.01225,1.84e+27,new_VLASS,real,IIn,4.668599788165577e+26
SN2021aefs,59154.0,1.946,0.216,59527.272,-373.272,-1.022663014,0.01225,6.990000000000001e+27,new_VLASS,real,IIn,7.75705810956742e+26
SN2021aefs,60098.0,0.648,0.228,59527.272,570.728,1.563638356,0.01225,2.3300000000000002e+27,new_VLASS,real,IIn,8.188005782321166e+26
SN2021aefs,60828.01716,3.78,0.564,59527.272,1300.74516,3.56368537,0.01225,1.36e+28,25A-386 upper,upper,IIn,2.025454061942604e+27
SN2021bmf,58651.0,0.284,0.139,59244.613,-593.613,-1.626336986,0.04,1.13e+28,new_VLASS,real,Ic-BL,5.544738246762618e+27
SN2021bmf,59483.0,5.57,0.526,59244.613,238.387,0.6531150685,0.04,2.22e+29,new_VLASS,real,Ic-BL,2.0982246890626883e+28
SN2021bmf,60479.0,9.036,0.935,59244.613,1234.387,3.381882192,0.04,3.6e+29,new_VLASS,real,Ic-BL,3.729734000520178e+28
SN2021bmf,60825.39025,7.343,1.068,59244.613,1580.77725,4.330896575,0.04,2.93e+29,25A-386 Observations,real,Ic-BL,4.260273703267968e+28
SN2021bmf,59582.611,1.704,0.786,59244.613,337.0,0.9232876712,0.04,6.8e+28,ASKAP Observations,real,Ic-BL,3.135369972629797e+28
SN2021tcv,58587.0,0.343,0.11,59406.596,-819.596,-2.245468493,0.017,2.3900000000000003e+27,new_VLASS,real,II,7.662249377331288e+26
SN2021tcv,59511.0,0.498,0.152,59406.596,104.404,0.2860383562,0.017,3.4700000000000006e+27,new_VLASS,real,II,1.0587835503221415e+27
SN2021tcv,60455.0,1.213,0.206,59406.596,1048.404,2.872339726,0.017,8.45e+27,new_VLASS,real,II,1.4349303379365864e+27
SN2021tcv,60831.59135,1.59,0.14,59406.596,1424.99535,3.904096849,0.017,1.11e+28,25A-386 Observations,real,II,9.751953752967094e+26
SN2022cb,58122.0,0.268,0.117,59584.822,-1462.822,-4.007731507,0.035,8.13e+27,new_VLASS,real,Ib,3.547472554377136e+27
SN2022cb,59063.0,0.568,0.204,59584.822,-521.822,-1.429649315,0.035,1.72e+28,new_VLASS,real,Ib,6.185336761478083e+27
SN2022cb,59975.0,0.954,0.164,59584.822,390.178,1.068980822,0.035,2.89e+28,new_VLASS,real,Ib,4.972525631776498e+27
SN2022cb,60847.77258,0.888,0.114,59584.822,1262.950577,3.460138567,0.035,2.6900000000000003e+28,25A-386 Observations,real,Ib,3.456511719649517e+27
SN2023axu,58167.0,0.315,0.128,59972.11622,-1803.952,-4.942334247,0.0028,5.84e+25,new_VLASS,real,II,2.3674180250860088e+25
SN2023axu,59154.0,0.436,0.157,59972.11622,-817.646,-2.240126027,0.0028,8.09e+25,new_VLASS,real,II,2.9037861713945574e+25
SN2023axu,60104.0,0.686,0.157,59972.11622,132.737,0.3636630137,0.0028,1.27e+26,new_VLASS,real,II,2.9037861713945574e+25
SN2023axu,60881.8024,0.333,0.047,59972.11622,909.686,2.492290411,0.0028,6.1799999999999995e+25,25A-386 Observations,real,II,8.692863060862688e+24
SN2023rky,58608.0,0.391,0.164,60193.336,-1585.336,-4.343386301,0.01519,2.1700000000000002e+27,new_VLASS,real,II,9.095959261119912e+26
SN2023rky,59525.0,0.286,0.153,60193.336,-668.336,-1.831057534,0.01519,1.59e+27,new_VLASS,real,II,8.485864432630161e+26
SN2023rky,60489.0,0.667,0.133,60193.336,295.664,0.8100383562,0.01519,3.7000000000000006e+27,new_VLASS,real,II,7.376601108103344e+26
SN2023rky,60848.41062,0.333,0.042,60193.336,655.0746215,1.79472499,0.01519,1.8500000000000003e+27,25A-386 Observations,real,II,2.3294529815063187e+26
SN2024ehs,58157.0,0.309,0.135,60384.47002,-2227.47002,-6.102657589,0.00377,1.04e+26,new_VLASS,real,II,4.5332337882678325e+25
SN2024ehs,59535.0,0.333,0.127,60384.47002,-849.47002,-2.327315123,0.00377,1.12e+26,new_VLASS,real,II,4.264597711926034e+25
SN2024ehs,60431.0,0.997,0.154,60384.47002,46.52998,0.1274793973,0.00377,3.35e+26,new_VLASS,real,II,5.1712444695796e+25
SN2024ehs,60840.17381,0.102,0.025,60384.47002,455.70379,1.248503534,0.00377,3.43e+25,25A-386 Observations,real,II,8.39487738568117e+24
1986J,55813.0,1.76,,46663.0,9150.0,25.06849315,0.001763,1.2899999999999999e+26,Archival IIn,real,IIn,
1986J,55822.0,1.79,,46663.0,9159.0,25.09315068,0.001763,1.31e+26,Archival IIn,real,IIn,
1986J,56027.0,1.82,,46663.0,9364.0,25.65479452,0.001763,1.33e+26,Archival IIn,real,IIn,
1986J,56952.0,1.62,,46663.0,10289.0,28.1890411,0.001763,1.19e+26,Archival IIn,real,IIn,
1986J,58587.0,1.194,,46663.0,11924.0,32.66849315,0.001763,8.759999999999999e+25,VLASS IIn,real,IIn,
1986J,59511.0,1.142,,46663.0,12848.0,35.2,0.001763,8.379999999999999e+25,VLASS IIn,real,IIn,
1986J,60455.0,1.272,,46663.0,13792.0,37.78630137,0.001763,9.33e+25,VLASS IIn,real,IIn,
SN2004c,53029.41,0.556,,53016.0,13.41,0.03673972603,0.0057,4.2799999999999996e+26,Archival Ibc,real,Ic,
SN2004c,53041.36,0.938,,53016.0,25.36,0.06947945205,0.0057,7.219999999999999e+26,Archival Ibc,real,Ic,
SN2004c,53081.15,2.326,,53016.0,65.15,0.1784931507,0.0057,1.7900000000000002e+27,Archival Ibc,real,Ic,
SN2004c,53088.21,3.101,,53016.0,72.21,0.1978356164,0.0057,2.3900000000000003e+27,Archival Ibc,real,Ic,
SN2004c,53101.07,3.952,,53016.0,85.07,0.2330684932,0.0057,3.04e+27,Archival Ibc,real,Ic,
SN2004c,53107.14,3.678,,53016.0,91.14,0.2496986301,0.0057,2.83e+27,Archival Ibc,real,Ic,
SN2004c,53113.08,3.387,,53016.0,97.08,0.2659726027,0.0057,2.6100000000000003e+27,Archival Ibc,real,Ic,
SN2004c,53127.14,4.473,,53016.0,111.14,0.3044931507,0.0057,3.4400000000000004e+27,Archival Ibc,real,Ic,
SN2004c,53137.18,4.927,,53016.0,121.18,0.332,0.0057,3.7900000000000005e+27,Archival Ibc,real,Ic,
SN2004c,53165.98,5.574,,53016.0,149.98,0.4109041096,0.0057,4.2900000000000004e+27,Archival Ibc,real,Ic,
SN2004c,53183.08,8.097,,53016.0,167.08,0.4577534247,0.0057,6.23e+27,Archival Ibc,real,Ic,
SN2004c,53211.98,7.808,,53016.0,195.98,0.5369315068,0.0057,6.01e+27,Archival Ibc,real,Ic,
SN2004c,53228.97,6.505,,53016.0,212.97,0.5834794521,0.0057,5.010000000000001e+27,Archival Ibc,real,Ic,
SN2004c,53271.84,8.873,,53016.0,255.84,0.7009315068,0.0057,6.83e+27,Archival Ibc,real,Ic,
SN2004c,53291.59,9.423,,53016.0,275.59,0.7550410959,0.0057,7.25e+27,Archival Ibc,real,Ic,
SN2004c,53330.67,7.796,,53016.0,314.67,0.862109589,0.0057,6.000000000000001e+27,Archival Ibc,real,Ic,
SN2004c,53402.27,8.267,,53016.0,386.27,1.058273973,0.0057,6.36e+27,Archival Ibc,real,Ic,
SN2004c,53511.47,8.62,,53016.0,495.47,1.357452055,0.0057,6.640000000000001e+27,Archival Ibc,real,Ic,
SN2004c,53603.94,7.271,,53016.0,587.94,1.610794521,0.0057,5.600000000000001e+27,Archival Ibc,real,Ic,
SN2004c,53689.6,5.355,,53016.0,673.6,1.845479452,0.0057,4.12e+27,Archival Ibc,real,Ic,
SN2004c,53801.41,5.437,,53016.0,785.41,2.151808219,0.0057,4.19e+27,Archival Ibc,real,Ic,
SN2004c,54248.1,1.586,,53016.0,1232.1,3.375616438,0.0057,1.22e+27,Archival Ibc,real,Ic,
SN2004c,54366.74,1.751,,53016.0,1350.74,3.700657534,0.0057,1.3500000000000001e+27,Archival Ibc,real,Ic,
SN2004c,54926.22,1.424,,53016.0,1910.22,5.233479452,0.0057,1.1000000000000001e+27,Archival Ibc,real,Ic,
SN2004c,55781.65,0.546,,53016.0,2765.65,7.577123288,0.0057,4.2e+26,Archival Ibc,real,Ic,
SN2004c,58020.0,4.2,,53016.0,5004.0,13.70958904,0.0057,2.8000000000000005e+27,VLASS Ibc,real,Ic,
SN2004c,59064.0,5.3,,53016.0,6048.0,16.56986301,0.0057,3.5e+27,VLASS Ibc,real,Ic,
SN2004c,59984.0,3.764,,53016.0,6968.0,19.09041096,0.0057,2.9100000000000004e+27,VLASS Ibc,real,Ic,
SN2004dk,53228.0,0.87,,53218.0,10.0,0.02739726027,0.0052,5.57e+26,Archival Ibc,real,Ib,
SN2004dk,53230.0,1.09,,53218.0,12.0,0.03287671233,0.0052,6.98e+26,Archival Ibc,real,Ib,
SN2004dk,53235.0,0.95,,53218.0,17.0,0.04657534247,0.0052,6.08e+26,Archival Ibc,real,Ib,
SN2004dk,53250.0,1.8,,53218.0,32.0,0.08767123288,0.0052,1.1500000000000002e+27,Archival Ibc,real,Ib,
SN2004dk,53258.0,1.06,,53218.0,40.0,0.1095890411,0.0052,6.79e+26,Archival Ibc,real,Ib,
SN2004dk,53266.0,0.86,,53218.0,48.0,0.1315068493,0.0052,5.51e+26,Archival Ibc,real,Ib,
SN2004dk,53282.0,0.46,,53218.0,64.0,0.1753424658,0.0052,2.9499999999999998e+26,Archival Ibc,real,Ib,
SN2004dk,53295.0,0.56,,53218.0,77.0,0.2109589041,0.0052,3.59e+26,Archival Ibc,real,Ib,
SN2004dk,53413.0,0.26,,53218.0,195.0,0.5342465753,0.0052,1.66e+26,Archival Ibc,real,Ib,
SN2004dk,54874.0,0.22,,53218.0,1656.0,4.536986301,0.0052,1.41e+26,Archival Ibc,real,Ib,
SN2004dk,54886.0,0.21,,53218.0,1668.0,4.569863014,0.0052,1.3399999999999999e+26,Archival Ibc,real,Ib,
SN2004dk,54923.0,0.34,,53218.0,1705.0,4.671232877,0.0052,2.18e+26,Archival Ibc,real,Ib,
SN2004dk,54940.0,0.21,,53218.0,1722.0,4.717808219,0.0052,1.3399999999999999e+26,Archival Ibc,real,Ib,
SN2004dk,55093.0,0.28,,53218.0,1875.0,5.136986301,0.0052,1.79e+26,Archival Ibc,real,Ib,
SN2004dk,58624.0,5.88,,53218.0,5406.0,14.8109589,0.0052,3.7800000000000003e+27,VLASS Ibc,real,Ib,
SN2004dk,59511.0,6.994,,53218.0,6293.0,17.24109589,0.0052,4.5000000000000005e+27,VLASS Ibc,real,Ib,
SN2004dk,60475.0,6.939,,53218.0,7257.0,19.88219178,0.0052,4.4700000000000003e+27,VLASS Ibc,real,Ib,
PTF11qcj,55880.538,0.421,,55866.0,14.538,0.03983013699,0.028,8.090000000000001e+27,Archival Ibc,real,Ic-BL,
PTF11qcj,55887.508,0.619,,55866.0,21.508,0.0589260274,0.028,1.19e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55892.67,0.936,,55866.0,26.67,0.07306849315,0.028,1.8000000000000002e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55894.635,1.46,,55866.0,28.635,0.07845205479,0.028,2.8e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55897.511,1.566,,55866.0,31.511,0.08633150685,0.028,3.01e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55902.518,2.6,,55866.0,36.518,0.1000493151,0.028,4.99e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55910.476,2.24,,55866.0,44.476,0.1218520548,0.028,4.300000000000001e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55916.558,2.31,,55866.0,50.558,0.1385150685,0.028,4.44e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55926.572,2.09,,55866.0,60.572,0.1659506849,0.028,4.01e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55927.555,2.51,,55866.0,61.555,0.1686438356,0.028,4.82e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55949.598,3.86,,55866.0,83.598,0.2290356164,0.028,7.41e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55950.363,2.03,,55866.0,84.363,0.2311315068,0.028,3.9000000000000003e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55967.439,3.04,,55866.0,101.439,0.2779150685,0.028,5.84e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55987.428,2.51,,55866.0,121.428,0.3326794521,0.028,4.82e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55988.283,3.47,,55866.0,122.283,0.3350219178,0.028,6.66e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,55997.46,2.47,,55866.0,131.46,0.3601643836,0.028,4.74e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,56011.553,3.03,,55866.0,145.553,0.3987753425,0.028,5.82e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,56027.091,2.34,,55866.0,161.091,0.4413452055,0.028,4.49e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,56035.092,2.67,,55866.0,169.092,0.4632657534,0.028,5.130000000000001e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,56044.421,3.05,,55866.0,178.421,0.4888246575,0.028,5.860000000000001e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,56057.428,2.73,,55866.0,191.428,0.524460274,0.028,5.24e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,56101.224,3.2,,55866.0,235.224,0.6444493151,0.028,6.15e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,56155.076,1.697,,55866.0,289.076,0.7919890411,0.028,3.26e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,56223.561,2.23,,55866.0,357.561,0.9796191781,0.028,4.28e+28,Archival Ibc,real,Ic-BL,
PTF11qcj,56429.038,5.77,,55866.0,563.038,1.542569863,0.028,1.11e+29,Archival Ibc,real,Ic-BL,
PTF11qcj,56809.993,7.55,,55866.0,943.993,2.586282192,0.028,1.45e+29,Archival Ibc,real,Ic-BL,
PTF11qcj,56948.91,9.0,,55866.0,1082.91,2.966876712,0.028,1.73e+29,Archival Ibc,real,Ic-BL,
PTF11qcj,57006.658,8.71,,55866.0,1140.658,3.125090411,0.028,1.67e+29,Archival Ibc,real,Ic-BL,
PTF11qcj,57046.262,9.25,,55866.0,1180.262,3.233594521,0.028,1.78e+29,Archival Ibc,real,Ic-BL,
PTF11qcj,57354.492,9.54,,55866.0,1488.492,4.078060274,0.028,1.83e+29,Archival Ibc,real,Ic-BL,
PTF11qcj,57729.458,9.46,,55866.0,1863.458,5.105364384,0.028,1.82e+29,Archival Ibc,real,Ic-BL,
PTF11qcj,58553.0,6.8,,55866.0,2687.0,7.361643836,0.0287,1.12e+29,VLASS Ibc,real,Ic-BL,
PTF11qcj,59540.0,3.18,,55866.0,3674.0,10.06575342,0.0287,6.61e+28,VLASS Ibc,real,Ic-BL,
PTF11qcj,60490.0,1.618,,55866.0,4624.0,12.66849315,0.0287,3.3600000000000004e+28,VLASS Ibc,real,Ic-BL,
SN2012au,56006.2,4.596,,56000.0,6.2,0.01698630137,0.0045,2.2000000000000001e+27,Archival Ibc,real,Ib,
SN2012au,56010.3,5.658,,56000.0,10.3,0.02821917808,0.0045,2.71e+27,Archival Ibc,real,Ib,
