SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status
SN1993N,49401,0.11,IIn,49092,0.8465753425,309,3.32E+26,old_rich,real
SN1993N,50471,0.186,IIn,49092,3.778082192,1379,5.61E+26,old_rich,real
SN1994W,49586,0.146,IIn-P,49563,0.06301369863,23,1.13E+26,old_rich,real
SN1994W,49975,0.167,IIn-P,49563,1.128767123,412,1.29E+26,old_rich,real
SN1994W,51479,0.171,IIn-P,49563,5.249315068,1916,1.32E+26,old_rich,real
SN1994W,51479,0.171,IIn-P,49563,5.249315068,1916,1.32E+26,old_rich,real
SN1996ae,50245,0.292,IIn,50109,0.3726027397,136,1.38E+26,old_rich,real
SN1996ae,50312,0.279,IIn,50109,0.5561643836,203,1.32E+26,old_rich,real
SN1996ae,50379,0.165,IIn,50109,0.7397260274,270,7.82E+25,old_rich,real
SN1996ae,51346,0.193,IIn,50109,3.389041096,1237,9.14E+25,old_rich,real
SN1996bu,50421,0.162,IIn,50401,0.05479452055,20,2.06E+25,old_rich,real
SN1996bu,51480,0.129,IIn,50401,2.956164384,1079,1.64E+25,old_rich,real
SN1997ab,50714,0.125,IIn,50184,1.452054795,530,4.35E+26,old_rich,real
SN1997ab,50854,0.251,IIn,50184,1.835616438,670,8.72E+26,old_rich,real
SN1997ab,50973,0.193,IIn,50184,2.161643836,789,6.71E+26,old_rich,real
SN1998S,50964,0.097,IIn,50872,0.2520547945,92,2.58E+25,old_rich,real
SN1998S,50973,0.129,IIn,50872,0.2767123288,101,3.43E+25,old_rich,real
SN1998S,51105,0.175,IIn,50872,0.6383561644,233,4.65E+25,old_rich,real
SN1998S,51479,1.08,IIn,50872,1.663013699,607,2.87E+26,old_rich,real
SN1998S,51934,0.775,IIn,50872,2.909589041,1062,2.06E+26,old_rich,real
SN1998S,53033,0.679,IIn,50872,5.920547945,2161,1.80E+26,old_rich,real
SN1998S,54248,0.19,IIn,50872,9.249315068,3376,5.05E+25,old_rich,real
SN1999el,51479,0.101,IIn,51471,0.02191780822,8,6.45E+25,old_rich,real
SN1999el,51834,0.145,IIn,51471,0.9945205479,363,9.26E+25,old_rich,real
SN2000P,51689,0.378,IIn,51611,0.2136986301,78,4.12E+26,old_rich,real
SN2000P,51834,0.09,IIn,51611,0.6109589041,223,9.82E+25,old_rich,real
SN2005kd,53695,0.454,IIn,53684,0.0301369863,11,2.62E+27,old_rich,real
SN2005kd,53695,1.011,IIn,53684,0.0301369863,11,5.83E+27,old_rich,real
SN2005kd,53725,0.362,IIn,53684,0.1123287671,41,2.09E+27,old_rich,real
SN2005kd,53725,0.99,IIn,53684,0.1123287671,41,5.71E+27,old_rich,real
SN2005kd,54371,0.16,IIn,53684,1.882191781,687,9.22E+26,old_rich,real
SN1982F,45943,1.16,IIP,45024,2.517808219,919,5.34E+25,old_rich,real
SN1982F,46057,0.18,IIP,45024,2.830136986,1033,8.28E+24,old_rich,real
SN1985G,46192,0.212,IIP,46141,0.1397260274,51,1.11E+26,old_rich,real
SN1985G,46309,0.675,IIP,46141,0.4602739726,168,3.53E+26,old_rich,real
SN1985G,46779,0.623,IIP,46141,1.747945205,638,3.26E+26,old_rich,real
SN1985H,46192,0.155,II,46167,0.06849315068,25,4.75E+25,old_rich,real
SN1985H,47192,0.3,II,46167,2.808219178,1025,9.19E+25,old_rich,real
SN1987K,47052,2.6,IIb,47007,0.1232876712,45,8.47E+26,old_rich,real
SN1987K,47882,0.634,IIb,47007,2.397260274,875,2.07E+26,old_rich,real
SN1987K,49401,0.225,IIb,47007,6.55890411,2394,7.33E+25,old_rich,real
SN1989L,47884,0.254,II,47650,0.6410958904,234,1.47E+26,old_rich,real
SN1989L,47938,0.162,II,47650,0.7890410959,288,9.38E+25,old_rich,real
SN1989L,48016,0.204,II,47650,1.002739726,366,1.18E+26,old_rich,real
SN1990K,48041,0.149,II,48025,0.04383561644,16,9.76E+25,old_rich,real
SN1990K,49023,0.114,II,48025,2.734246575,998,7.47E+25,old_rich,real
SN1991G,48912,0.487,IIP,48279,1.734246575,633,1.13E+26,old_rich,real
SN1991G,50705,0.069,IIP,48279,6.646575342,2426,1.60E+25,old_rich,real
SN1992H,49059,0.084,II,48663,1.084931507,396,1.24E+26,old_rich,real
SN1992H,49975,0.269,II,48663,3.594520548,1312,3.97E+26,old_rich,real
SN1992ad,49286,0.4,II,48803,1.323287671,483,2.40E+26,old_rich,real
SN1992ad,50223,0.15,II,48803,3.890410959,1420,9.01E+25,old_rich,real
SN1992bd,48926,0.081,II,48907,0.05205479452,19,2.77E+25,old_rich,real
SN1992bd,49011,0.132,II,48907,0.2849315068,104,4.51E+25,old_rich,real
SN1992bd,49023,0.141,II,48907,0.3178082192,116,4.82E+25,old_rich,real
SN1992bd,49477,0.249,II,48907,1.561643836,570,8.51E+25,old_rich,real
SN1992bd,49726,0.3,II,48907,2.243835616,819,1.03E+26,old_rich,real
SN1994P,49495,0.108,II,49372,0.3369863014,123,4.96E+25,old_rich,real
SN1994P,49562,0.061,II,49372,0.5205479452,190,2.80E+25,old_rich,real
SN1994P,49975,0.235,II,49372,1.652054795,603,1.08E+26,old_rich,real
SN1995X,49975,0.336,II,49932,0.1178082192,43,2.61E+26,old_rich,real
SN1995X,50973,0.143,II,49932,2.852054795,1041,1.11E+26,old_rich,real
SN1995X,50981,0.102,II,49932,2.873972603,1049,7.94E+25,old_rich,real
SN1995X,51834,0.177,II,49932,5.210958904,1902,1.38E+26,old_rich,real
SN1996W,50379,0.19,II,50183,0.5369863014,196,3.38E+25,old_rich,real
SN1996W,50471,0.264,II,50183,0.7890410959,288,4.70E+25,old_rich,real
SN1996W,50822,0.208,II,50183,1.750684932,639,3.70E+25,old_rich,real
SN1996an,50312,0.279,II,50233,0.2164383562,79,1.22E+26,old_rich,real
SN1996an,50361,1.029,II,50233,0.3506849315,128,4.49E+26,old_rich,real
SN1996an,50361,0.45,II,50233,0.3506849315,128,1.96E+26,old_rich,real
SN1996cb,50450,0.99,IIb,50429,0.05753424658,21,2.29E+26,old_rich,real
SN1996cb,50465,0.26,IIb,50429,0.09863013699,36,6.01E+25,old_rich,real
SN1997W,51479,0.106,II,50480,2.736986301,999,7.92E+26,old_rich,real
SN1997W,51834,0.206,II,50480,3.709589041,1354,1.54E+27,old_rich,real
SN1997db,50854,0.06,II,50662,0.5260273973,192,2.56E+25,old_rich,real
SN1997db,51346,0.111,II,50662,1.873972603,684,4.74E+25,old_rich,real
SN1997db,51834,0.145,II,50662,3.210958904,1172,6.20E+25,old_rich,real
SN1998bm,50929,0.18,II,50924,0.01369863014,5,1.31E+26,old_rich,real
SN1998bm,51480,0.139,II,50924,1.523287671,556,1.01E+26,old_rich,real
SN1998dl,51062,0.112,IIP,51027,0.09589041096,35,4.89E+25,old_rich,real
SN1998dl,51346,0.141,IIP,51027,0.8739726027,319,6.15E+25,old_rich,real
SN1998dn,51346,0.117,II,51044,0.8273972603,302,2.63E+25,old_rich,real
SN1998dn,51834,0.188,II,51044,2.164383562,790,4.22E+25,old_rich,real
SN1999D,51236,0.3,II,51194,0.1150684932,42,9.93E+26,old_rich,real
SN1999D,51480,0.213,II,51194,0.7835616438,286,7.05E+26,old_rich,real
SN1999em,51487,0.264,IIP,51475,0.03287671233,12,4.18E+25,old_rich,real
SN1999em,51513,0.162,IIP,51475,0.104109589,38,2.56E+25,old_rich,real
SN1999em,51525,0.194,IIP,51475,0.1369863014,50,3.07E+25,old_rich,real
SN1999em,51539,0.128,IIP,51475,0.1753424658,64,2.03E+25,old_rich,real
SN1999em,51588,0.105,IIP,51475,0.3095890411,113,1.66E+25,old_rich,real
SN1999gi,51525,0.087,IIP,51518,0.01917808219,7,1.60E+25,old_rich,real
SN1999gi,51731,0.2,IIP,51518,0.5835616438,213,3.68E+25,old_rich,real
SN1999gi,53020,0.096,IIP,51518,4.115068493,1502,1.77E+25,old_rich,real
SN1999gq,51555,0.147,IIP,51535,0.05479452055,20,4.91E+25,old_rich,real
SN1999gq,51555,0.154,IIP,51535,0.05479452055,20,5.14E+25,old_rich,real
SN2002hh,52583,0.483,II,52578,0.01369863014,5,1.81E+25,old_rich,real
SN2002hh,52585,0.522,II,52578,0.01917808219,7,1.96E+25,old_rich,real
SN2002hh,52585,0.192,II,52578,0.01917808219,7,7.20E+24,old_rich,real
SN2002hh,52593,0.81,II,52578,0.04109589041,15,3.04E+25,old_rich,real
SN2002hh,52605,1.333,II,52578,0.07397260274,27,5.00E+25,old_rich,real
SN2002hh,52613,1.3,II,52578,0.09589041096,35,4.88E+25,old_rich,real
SN2003ed,52863,3.697,II,52759,0.2849315068,104,2.81E+27,old_rich,real
SN2003ed,52997,2.423,II,52759,0.6520547945,238,1.84E+27,old_rich,real
SN2003ed,53030,2.321,II,52759,0.7424657534,271,1.76E+27,old_rich,real
SN2003gd,52807,0.24,IIP,52715,0.2520547945,92,2.12E+25,old_rich,real
SN2003gd,52824,0.2,IIP,52715,0.298630137,109,1.77E+25,old_rich,real
SN2003gd,52872,0.123,IIP,52715,0.4301369863,157,1.09E+25,old_rich,real
SN2003gd,52917,0.222,IIP,52715,0.5534246575,202,1.96E+25,old_rich,real
SN2003gd,53057,0.2,IIP,52715,0.9369863014,342,1.77E+25,old_rich,real
SN2003ie,53030,0.181,IIP,52901,0.3534246575,129,4.06E+25,old_rich,real
SN2003ie,53039,0.178,IIP,52901,0.3780821918,138,4.00E+25,old_rich,real
SN2003ie,53258,0.166,IIP,52901,0.9780821918,357,3.73E+25,old_rich,real
SN2003ie,54873,0.171,IIP,52901,5.402739726,1972,3.84E+25,old_rich,real
SN2004A,53025,0.163,IIP,53010,0.04109589041,15,5.64E+25,old_rich,real
SN2004A,53033,0.442,IIP,53010,0.06301369863,23,1.53E+26,old_rich,real
SN2004A,53039,0.188,IIP,53010,0.07945205479,29,6.50E+25,old_rich,real
SN2004A,53085,0.152,IIP,53010,0.2054794521,75,5.26E+25,old_rich,real
SN2004A,53117,0.211,IIP,53010,0.2931506849,107,7.30E+25,old_rich,real
SN2004A,53138,0.194,IIP,53010,0.3506849315,128,6.71E+25,old_rich,real
SN2004am,52957,0.34,IIP,52950,0.01917808219,7,5.87E+24,old_rich,real
SN2004am,52957,1,IIP,52950,0.01917808219,7,1.73E+25,old_rich,real
SN2004am,53258,2.529,IIP,52950,0.8438356164,308,4.37E+25,old_rich,real
SN2004am,53258,3.039,IIP,52950,0.8438356164,308,5.25E+25,old_rich,real
SN2004am,53283,0.996,IIP,52950,0.9123287671,333,1.72E+25,old_rich,real
SN2004et,53278,0.291,IIP,53270,0.02191780822,8,1.09E+25,old_rich,real
SN2004et,53283,0.341,IIP,53270,0.03561643836,13,1.28E+25,old_rich,real
SN2004et,53283,0.33,IIP,53270,0.03561643836,13,1.24E+25,old_rich,real
SN2004et,53285,0.641,IIP,53270,0.04109589041,15,2.41E+25,old_rich,real
SN2004et,53290,1.091,IIP,53270,0.05479452055,20,4.09E+25,old_rich,real
SN2004et,53301,1.316,IIP,53270,0.08493150685,31,4.94E+25,old_rich,real
SN2004et,53308,1.866,IIP,53270,0.104109589,38,7.00E+25,old_rich,real
SN2004et,53315,1.993,IIP,53270,0.1232876712,45,7.48E+25,old_rich,real
SN2004et,53330,1.798,IIP,53270,0.1643835616,60,6.75E+25,old_rich,real
SN2004et,53339,1.919,IIP,53270,0.1890410959,69,7.20E+25,old_rich,real
SN2004et,53349,1.771,IIP,53270,0.2164383562,79,6.65E+25,old_rich,real
SN2004et,53408,1.081,IIP,53270,0.3780821918,138,4.06E+25,old_rich,real
SN2004et,53421,1.23,IIP,53270,0.4136986301,151,4.62E+25,old_rich,real
SN2005U,53409,0.3,IIb,53398,0.0301369863,11,1.01E+27,old_rich,real
SN2005U,53534,1,IIb,53398,0.3726027397,136,3.37E+27,old_rich,real
SN2005ay,53475,0.082,IIP,53450,0.06849315068,25,1.58E+25,old_rich,real
SN2005ay,53534,0.188,IIP,53450,0.2301369863,84,3.63E+25,old_rich,real
SN2005ay,53556,0.12,IIP,53450,0.2904109589,106,2.32E+25,old_rich,real
SN2005ay,53800,0.12,IIP,53450,0.9589041096,350,2.32E+25,old_rich,real
SN2005dl,53828,0.521,II,53607,0.6054794521,221,2.59E+26,old_rich,real
SN2005dl,57648,0.033,II,53607,11.07123288,4041,1.64E+25,old_rich,real
SN2006bp,53843,0.11,IIP,53834,0.02465753425,9,3.63E+25,old_rich,real
SN2006bp,53843,0.217,IIP,53834,0.02465753425,9,7.15E+25,old_rich,real
SN2006bp,53843,0.498,IIP,53834,0.02465753425,9,1.64E+26,old_rich,real
SN2006bp,54003,0.12,IIP,53834,0.4630136986,169,3.96E+25,old_rich,real
SN2006my,54051,0.441,IIP,53948,0.2821917808,103,1.44E+26,old_rich,real
SN2006my,54052,1.5,IIP,53948,0.2849315068,104,4.89E+26,old_rich,real
SN2006my,54052,2.1,IIP,53948,0.2849315068,104,6.84E+26,old_rich,real
SN2006my,54874,0.423,IIP,53948,2.536986301,926,1.38E+26,old_rich,real
SN2006ov,54068,0.396,IIP,54034,0.09315068493,34,1.01E+26,old_rich,real
SN2006ov,54068,0.138,IIP,54034,0.09315068493,34,3.52E+25,old_rich,real
SN2006ov,54074,0.287,IIP,54034,0.1095890411,40,7.32E+25,old_rich,real
SN2006ov,54831,0.32,IIP,54034,2.183561644,797,8.16E+25,old_rich,real
SN2008ax,54532,1.19,IIb,54528,0.01095890411,4,5.47E+25,old_rich,real
SN2008ax,54532,5.802,IIb,54528,0.01095890411,4,2.67E+26,old_rich,real
SN2008ax,54535,3.94,IIb,54528,0.01917808219,7,1.81E+26,old_rich,real
SN2008ax,54535,6.742,IIb,54528,0.01917808219,7,3.10E+26,old_rich,real
SN2008ax,54536,4.278,IIb,54528,0.02191780822,8,1.97E+26,old_rich,real
SN2008ax,54536,2.082,IIb,54528,0.02191780822,8,9.58E+25,old_rich,real
SN2008ax,54537,4.63,IIb,54528,0.02465753425,9,2.13E+26,old_rich,real
SN2008ax,54537,3.016,IIb,54528,0.02465753425,9,1.39E+26,old_rich,real
SN2008ax,54538,4.934,IIb,54528,0.02739726027,10,2.27E+26,old_rich,real
SN2008ax,54538,2.934,IIb,54528,0.02739726027,10,1.35E+26,old_rich,real
SN2008ax,54542,4.807,IIb,54528,0.03835616438,14,2.21E+26,old_rich,real
SN2008ax,54542,2.37,IIb,54528,0.03835616438,14,1.09E+26,old_rich,real
SN2008ax,54542,3.993,IIb,54528,0.03835616438,14,1.84E+26,old_rich,real
SN2008ax,54543,4.04,IIb,54528,0.04109589041,15,1.86E+26,old_rich,real
SN2008ax,54543,1.159,IIb,54528,0.04109589041,15,5.33E+25,old_rich,real
SN2008ax,54543,3.646,IIb,54528,0.04109589041,15,1.68E+26,old_rich,real
SN2008ax,54544,1.643,IIb,54528,0.04383561644,16,7.56E+25,old_rich,real
SN2008ax,54544,4.13,IIb,54528,0.04383561644,16,1.90E+26,old_rich,real
SN2008ax,54546,2.631,IIb,54528,0.04931506849,18,1.21E+26,old_rich,real
SN2008ax,54546,3.449,IIb,54528,0.04931506849,18,1.59E+26,old_rich,real
SN2008ax,54551,1.052,IIb,54528,0.06301369863,23,4.84E+25,old_rich,real
SN2008ax,54551,2.748,IIb,54528,0.06301369863,23,1.26E+26,old_rich,real
SN2008ax,54551,3.448,IIb,54528,0.06301369863,23,1.59E+26,old_rich,real
SN2008ax,54557,0.479,IIb,54528,0.07945205479,29,2.20E+25,old_rich,real
SN2008ax,54557,1.396,IIb,54528,0.07945205479,29,6.42E+25,old_rich,real
SN2008ax,54557,2.492,IIb,54528,0.07945205479,29,1.15E+26,old_rich,real
SN2008ax,54559,0.445,IIb,54528,0.08493150685,31,2.05E+25,old_rich,real
SN2008ax,54559,1.13,IIb,54528,0.08493150685,31,5.20E+25,old_rich,real
SN2008ax,54559,1.96,IIb,54528,0.08493150685,31,9.01E+25,old_rich,real
SN2008ax,54563,0.249,IIb,54528,0.09589041096,35,1.15E+25,old_rich,real
SN2008ax,54563,0.875,IIb,54528,0.09589041096,35,4.02E+25,old_rich,real
SN2008ax,54563,1.706,IIb,54528,0.09589041096,35,7.85E+25,old_rich,real
SN2008ax,54568,1.023,IIb,54528,0.1095890411,40,4.71E+25,old_rich,real
SN2008ax,54568,1.978,IIb,54528,0.1095890411,40,9.10E+25,old_rich,real
SN2008ax,54572,1.04,IIb,54528,0.1205479452,44,4.78E+25,old_rich,real
SN2008ax,54572,1.694,IIb,54528,0.1205479452,44,7.79E+25,old_rich,real
SN2008ax,54577,0.927,IIb,54528,0.1342465753,49,4.26E+25,old_rich,real
SN2008ax,54577,1.814,IIb,54528,0.1342465753,49,8.34E+25,old_rich,real
SN2008ax,54583,1.382,IIb,54528,0.1506849315,55,6.36E+25,old_rich,real
SN2008ax,54583,2.68,IIb,54528,0.1506849315,55,1.23E+26,old_rich,real
SN2008ax,54587,0.341,IIb,54528,0.1616438356,59,1.57E+25,old_rich,real
SN2008ax,54587,1.028,IIb,54528,0.1616438356,59,4.73E+25,old_rich,real
SN2008ax,54587,2.771,IIb,54528,0.1616438356,59,1.27E+26,old_rich,real
SN2008ax,54594,0.671,IIb,54528,0.1808219178,66,3.09E+25,old_rich,real
SN2008ax,54594,0.812,IIb,54528,0.1808219178,66,3.73E+25,old_rich,real
SN2008ax,54594,1.936,IIb,54528,0.1808219178,66,8.90E+25,old_rich,real
SN2008ax,54602,0.453,IIb,54528,0.202739726,74,2.08E+25,old_rich,real
SN2008ax,54602,1.17,IIb,54528,0.202739726,74,5.38E+25,old_rich,real
SN2008ax,54607,0.511,IIb,54528,0.2164383562,79,2.35E+25,old_rich,real
SN2008ax,54607,1.581,IIb,54528,0.2164383562,79,7.27E+25,old_rich,real
SN2008ax,54610,0.493,IIb,54528,0.2246575342,82,2.27E+25,old_rich,real
SN2008ax,54610,0.98,IIb,54528,0.2246575342,82,4.51E+25,old_rich,real
SN2008bo,54561,0.234,IIb,54552,0.02465753425,9,1.02E+26,old_rich,real
SN2008bo,54561,0.477,IIb,54552,0.02465753425,9,2.08E+26,old_rich,real
SN2008bo,54563,0.225,IIb,54552,0.0301369863,11,9.82E+25,old_rich,real
SN2008bo,54574,0.507,IIb,54552,0.0602739726,22,2.21E+26,old_rich,real
SN2008bo,54581,0.361,IIb,54552,0.07945205479,29,1.58E+26,old_rich,real
SN2008bo,54581,0.63,IIb,54552,0.07945205479,29,2.75E+26,old_rich,real
SN2008bo,54583,0.186,IIb,54552,0.08493150685,31,8.12E+25,old_rich,real
SN2008bo,54583,0.224,IIb,54552,0.08493150685,31,9.78E+25,old_rich,real
SN2008bo,54583,0.436,IIb,54552,0.08493150685,31,1.90E+26,old_rich,real
SN2008bo,54587,0.318,IIb,54552,0.09589041096,35,1.39E+26,old_rich,real
SN2008bo,54587,0.183,IIb,54552,0.09589041096,35,7.99E+25,old_rich,real
SN2008bo,54587,0.395,IIb,54552,0.09589041096,35,1.72E+26,old_rich,real
SN2008bo,54595,0.138,IIb,54552,0.1178082192,43,6.02E+25,old_rich,real
SN2008bo,54595,0.365,IIb,54552,0.1178082192,43,1.59E+26,old_rich,real
SN2008bo,54601,0.275,IIb,54552,0.1342465753,49,1.20E+26,old_rich,real
SN2008bo,54610,0.156,IIb,54552,0.1589041096,58,6.81E+25,old_rich,real
SN2009dd,54937,0.114,II,54933,0.01095890411,4,2.64E+25,old_rich,real
SN2009dd,54952,0.126,II,54933,0.05205479452,19,2.91E+25,old_rich,real
SN2009dd,54958,0.06,II,54933,0.06849315068,25,1.39E+25,old_rich,real
SN2010as,55302,2.19,IIb,55271,0.08493150685,31,1.97E+27,old_rich,real
SN2010as,55311,3.1,IIb,55271,0.1095890411,40,2.78E+27,old_rich,real
SN2010as,55316,1.7,IIb,55271,0.1232876712,45,1.53E+27,old_rich,real
SN2010as,55333,1.69,IIb,55271,0.1698630137,62,1.52E+27,old_rich,real
SN2010as,55375,2.38,IIb,55271,0.2849315068,104,2.14E+27,old_rich,real
SN2010as,55412,2.27,IIb,55271,0.3863013699,141,2.04E+27,old_rich,real
SN2010as,55443,2,IIb,55271,0.4712328767,172,1.80E+27,old_rich,real
SN2010as,55492,1.9,IIb,55271,0.6054794521,221,1.71E+27,old_rich,real
SN1996N,50196,0.197,Ib,50151,0.1232876712,45,9.24E+25,old_poor,real
SN1999dn,51509,0.12,Ib,51405,0.2849315068,104,1.22E+26,old_poor,real
SN2005V,53476,0.23,Ib/c,53371,0.2876712329,105,1.06E+26,old_poor,real
SN1997ef,51881,-0.092,IbBL,50772,3.038356164,1109,3.44E+26,old_poor,upper
SN1994ai,49726,-0.0934,Ic,49706,0.05479452055,20,2.72E+25,old_poor,upper
SN1996aq,50361,-0.205,Ic,50312,0.1342465753,49,1.17E+26,old_poor,upper
SN1997ei,50973,-0.173,Ic,50772,0.5506849315,201,4.93E+26,old_poor,upper
SN1999cn,51346,-0.324,Ic,51343,0.008219178082,3,4.78E+27,old_poor,upper
SN2000ew,52929,-0.107,Ic,51869,2.904109589,1060,3.16E+25,old_poor,upper
SN2004bm,53146,-0.456,Ic,53112,0.09315068493,34,3.25E+26,old_poor,upper
SN2005kl,54873,-0.129,Ic,53675,3.282191781,1198,1.36E+26,old_poor,upper
SN1980O,47192,-0.36,II,44603,7.093150685,2589,1.38E+26,old_rich,upper
SN1993X,49975,-0.135,II,49221,2.065753425,754,2.65E+26,old_rich,upper
SN1995ad,49996,-0.603,II,49982,0.03835616438,14,5.26E+26,old_rich,upper
SN1996bw,51834,-0.206,II,50417,3.882191781,1417,1.54E+27,old_rich,upper
SN1997dn,51479,-0.129,II,50750,1.997260274,729,1.13E+26,old_rich,upper
SN1999B,51480,-0.162,II,51192,0.7890410959,288,1.89E+26,old_rich,upper
SN1999go,54873,-0.148,II,51530,9.15890411,3343,6.46E+26,old_rich,upper
SN2008jb,56061,0.089,II,54781,3.506849315,1280,9.21E+24,old_rich,upper
SN2009hd,55023,-0.18,II,55001,0.0602739726,22,1.98E+25,old_rich,upper
SN1993G,49401,-0.112,IIL,49042,0.9835616438,359,3.78E+26,old_rich,upper
SN2007ak,54189,-0.402,IIn,54169,0.05479452055,20,2.33E+27,old_rich,upper
SN2008X,55101,0.089,IIP,54479,1.704109589,622,1.33E+26,old_rich,real
SN2009E,55101,-0.147,IIP,54466,1.739726027,635,2.20E+26,old_rich,upper
SN1988Z,51934,-0.21,IIn,47496,12.15890411,4438,3.10E+27,old_rich,upper
SN1991ae,49401,-0.117,IIn,48391,2.767123288,1010,2.67E+27,old_rich,upper
SN1994Y,49975,-0.267,IIn,49542,1.18630137,433,6.88E+26,old_rich,upper
SN1994ak,49975,-0.217,IIn,49710,0.7260273973,265,4.82E+26,old_rich,upper
SN1996L,50854,-0.176,IIn,50154,1.917808219,700,5.19E+27,old_rich,upper
SN1999E,51236,-0.071,IIn,51066,0.4657534247,170,1.20E+27,old_rich,upper
SN1999eb,51479,-0.085,IIn,51453,0.07123287671,26,6.35E+26,old_rich,upper
SN2003dv,54873,-0.1,IIn,53111,4.82739726,1762,1.38E+26,old_rich,upper
SN2003lo,54873,-0.183,IIn,53004,5.120547945,1869,7.99E+26,old_rich,upper
SN2005gl,53819,-0.09,IIn,53669,0.4109589041,150,5.10E+26,old_rich,upper
SN2006gy,58287,-0.04,IIn,53602,12.83561644,4685,3.46E+26,old_rich,upper