SN,Obsmjd,Flux,Type,Distance (Mpc),ExpMJD,dt,dt (years),Luminosity,classification,status
SN1985F,46142,0.189,Ib/c,7.2,45789,353,0.97,1.17e+25,old_poor,real
SN1985F,46277,0.33,Ib/c,7.2,45789,488,1.34,2.05e+25,old_poor,real
SN1994I,49495,9.81,Ic,7.9,49442,53,0.15,7.33e+26,old_poor,real
SN1994I,49504,7.15,Ic,7.9,49442,62,0.17,5.34e+26,old_poor,real
SN1997X,50485,1.256,Ib/c,21.3,50473,12,0.03,6.82e+26,old_poor,real
SN1997X,52929,0.123,Ib/c,21.3,50473,2456,6.73,6.6799999999999995e+25,old_poor,real
SN2001ci,52066,1.166,Ic,16.4,52020,46,0.13,3.75e+26,old_poor,real
SN2001ci,52435,0.133,Ic,16.4,52020,415,1.14,4.28e+25,old_poor,real
SN2004C,53043,2.154,Ic,32.6,52996,47,0.13,2.74e+27,old_poor,real
SN2004C,54919,0.71,Ic,32.6,52996,1923,5.27,9.029999999999999e+26,old_poor,real
SN2007C,54111,0.825,Ib,22.7,54097,14,0.04,5.0899999999999996e+26,old_poor,real
SN2007C,54139,0.25,Ib,22.7,54097,42,0.12,1.54e+26,old_poor,real
SN1987F,47882,0.43,IIn,79.6,46876,1006,2.76,3.2600000000000005e+27,old_rich,real
SN1987F,47935,0.18,IIn,79.6,46876,1059,2.9,1.36e+27,old_rich,real
SN1987F,48239,0.18,IIn,79.6,46876,1363,3.73,1.36e+27,old_rich,real
SN1987F,49008,0.09,IIn,79.6,46876,2132,5.84,6.82e+26,old_rich,real
SN1993N,49401,0.11,IIn,50.2,49092,309,0.85,3.32e+26,old_rich,real
SN1993N,50471,0.186,IIn,50.2,49092,1379,3.78,5.61e+26,old_rich,real
SN1994W,49586,0.146,IIn-P,25.4,49563,23,0.06,1.13e+26,old_rich,real
SN1994W,49975,0.167,IIn-P,25.4,49563,412,1.13,1.2899999999999999e+26,old_rich,real
SN1994W,51479,0.171,IIn-P,25.4,49563,1916,5.25,1.32e+26,old_rich,real
SN1994W,51479,0.171,IIn-P,25.4,49563,1916,5.25,1.32e+26,old_rich,real
SN1996ae,50245,0.292,IIn,19.9,50109,136,0.37,1.38e+26,old_rich,real
SN1996ae,50312,0.279,IIn,19.9,50109,203,0.56,1.32e+26,old_rich,real
SN1996ae,50379,0.165,IIn,19.9,50109,270,0.74,7.82e+25,old_rich,real
SN1996ae,51346,0.193,IIn,19.9,50109,1237,3.39,9.14e+25,old_rich,real
SN1996bu,50421,0.162,IIn,10.3,50401,20,0.05,2.06e+25,old_rich,real
SN1996bu,51480,0.129,IIn,10.3,50401,1079,2.96,1.6399999999999998e+25,old_rich,real
SN1997ab,50714,0.125,IIn,53.9,50184,530,1.45,4.3499999999999996e+26,old_rich,real
SN1997ab,50854,0.251,IIn,53.9,50184,670,1.84,8.72e+26,old_rich,real
SN1997ab,50973,0.193,IIn,53.9,50184,789,2.16,6.71e+26,old_rich,real
SN1998S,50964,0.097,IIn,14.9,50872,92,0.25,2.58e+25,old_rich,real
SN1998S,50973,0.129,IIn,14.9,50872,101,0.28,3.43e+25,old_rich,real
SN1998S,51105,0.175,IIn,14.9,50872,233,0.64,4.649999999999999e+25,old_rich,real
SN1998S,51479,1.08,IIn,14.9,50872,607,1.66,2.87e+26,old_rich,real
SN1998S,51934,0.775,IIn,14.9,50872,1062,2.91,2.06e+26,old_rich,real
SN1998S,53033,0.679,IIn,14.9,50872,2161,5.92,1.8e+26,old_rich,real
SN1998S,54248,0.19,IIn,14.9,50872,3376,9.25,5.05e+25,old_rich,real
SN1999el,51479,0.101,IIn,23.1,51471,8,0.02,6.4499999999999995e+25,old_rich,real
SN1999el,51834,0.145,IIn,23.1,51471,363,0.99,9.259999999999998e+25,old_rich,real
SN2000P,51689,0.378,IIn,30.2,51611,78,0.21,4.12e+26,old_rich,real
SN2000P,51834,0.09,IIn,30.2,51611,223,0.61,9.82e+25,old_rich,real
SN2005kd,53695,0.454,IIn,69.4,53684,11,0.03,2.62e+27,old_rich,real
SN2005kd,53695,1.011,IIn,69.4,53684,11,0.03,5.83e+27,old_rich,real
SN2005kd,53725,0.362,IIn,69.4,53684,41,0.11,2.0900000000000003e+27,old_rich,real
SN2005kd,53725,0.99,IIn,69.4,53684,41,0.11,5.710000000000001e+27,old_rich,real
SN2005kd,54371,0.16,IIn,69.4,53684,687,1.88,9.22e+26,old_rich,real
SN1982F,45943,1.16,IIP,6.2,45024,919,2.52,5.34e+25,old_rich,real
SN1982F,46057,0.18,IIP,6.2,45024,1033,2.83,8.28e+24,old_rich,real
SN1985G,46192,0.212,IIP,20.9,46141,51,0.14,1.11e+26,old_rich,real
SN1985G,46309,0.675,IIP,20.9,46141,168,0.46,3.53e+26,old_rich,real
SN1985G,46779,0.623,IIP,20.9,46141,638,1.75,3.26e+26,old_rich,real
SN1985H,46192,0.155,II,16.0,46167,25,0.07,4.749999999999999e+25,old_rich,real
SN1985H,47192,0.3,II,16.0,46167,1025,2.81,9.189999999999999e+25,old_rich,real
SN1987K,47052,2.6,IIb,16.5,47007,45,0.12,8.47e+26,old_rich,real
SN1987K,47882,0.634,IIb,16.5,47007,875,2.4,2.07e+26,old_rich,real
SN1987K,49401,0.225,IIb,16.5,47007,2394,6.56,7.329999999999999e+25,old_rich,real
SN1989L,47884,0.254,II,22.0,47650,234,0.64,1.47e+26,old_rich,real
SN1989L,47938,0.162,II,22.0,47650,288,0.79,9.379999999999999e+25,old_rich,real
SN1989L,48016,0.204,II,22.0,47650,366,1.0,1.18e+26,old_rich,real
SN1990K,48041,0.149,II,23.4,48025,16,0.04,9.759999999999998e+25,old_rich,real
SN1990K,49023,0.114,II,23.4,48025,998,2.73,7.4699999999999995e+25,old_rich,real
SN1991G,48912,0.487,IIP,13.9,48279,633,1.73,1.13e+26,old_rich,real
SN1991G,50705,0.069,IIP,13.9,48279,2426,6.65,1.6e+25,old_rich,real
SN1992H,49059,0.084,II,35.1,48663,396,1.08,1.24e+26,old_rich,real
SN1992H,49975,0.269,II,35.1,48663,1312,3.59,3.97e+26,old_rich,real
SN1992ad,49286,0.4,II,22.4,48803,483,1.32,2.4e+26,old_rich,real
SN1992ad,50223,0.15,II,22.4,48803,1420,3.89,9.01e+25,old_rich,real
SN1992bd,48926,0.081,II,16.9,48907,19,0.05,2.7699999999999997e+25,old_rich,real
SN1992bd,49011,0.132,II,16.9,48907,104,0.28,4.51e+25,old_rich,real
SN1992bd,49023,0.141,II,16.9,48907,116,0.32,4.82e+25,old_rich,real
SN1992bd,49477,0.249,II,16.9,48907,570,1.56,8.51e+25,old_rich,real
SN1992bd,49726,0.3,II,16.9,48907,819,2.24,1.03e+26,old_rich,real
SN1994P,49495,0.108,II,19.6,49372,123,0.34,4.959999999999999e+25,old_rich,real
SN1994P,49562,0.061,II,19.6,49372,190,0.52,2.7999999999999997e+25,old_rich,real
SN1994P,49975,0.235,II,19.6,49372,603,1.65,1.08e+26,old_rich,real
SN1995X,49975,0.336,II,25.5,49932,43,0.12,2.61e+26,old_rich,real
SN1995X,50973,0.143,II,25.5,49932,1041,2.85,1.11e+26,old_rich,real
SN1995X,50981,0.102,II,25.5,49932,1049,2.87,7.94e+25,old_rich,real
SN1995X,51834,0.177,II,25.5,49932,1902,5.21,1.38e+26,old_rich,real
SN1996W,50379,0.19,II,12.2,50183,196,0.54,3.38e+25,old_rich,real
SN1996W,50471,0.264,II,12.2,50183,288,0.79,4.7e+25,old_rich,real
SN1996W,50822,0.208,II,12.2,50183,639,1.75,3.7e+25,old_rich,real
SN1996an,50312,0.279,II,19.1,50233,79,0.22,1.22e+26,old_rich,real
SN1996an,50361,1.029,II,19.1,50233,128,0.35,4.49e+26,old_rich,real
SN1996an,50361,0.45,II,19.1,50233,128,0.35,1.96e+26,old_rich,real
SN1996cb,50450,0.99,IIb,13.9,50429,21,0.06,2.29e+26,old_rich,real
SN1996cb,50465,0.26,IIb,13.9,50429,36,0.1,6.01e+25,old_rich,real
SN1997W,51479,0.106,II,79.0,50480,999,2.74,7.92e+26,old_rich,real
SN1997W,51834,0.206,II,79.0,50480,1354,3.71,1.54e+27,old_rich,real
SN1997db,50854,0.06,II,18.9,50662,192,0.53,2.56e+25,old_rich,real
SN1997db,51346,0.111,II,18.9,50662,684,1.87,4.74e+25,old_rich,real
SN1997db,51834,0.145,II,18.9,50662,1172,3.21,6.2e+25,old_rich,real
SN1998bm,50929,0.18,II,24.7,50924,5,0.01,1.31e+26,old_rich,real
SN1998bm,51480,0.139,II,24.7,50924,556,1.52,1.01e+26,old_rich,real
SN1998dl,51062,0.112,IIP,19.1,51027,35,0.1,4.89e+25,old_rich,real
SN1998dl,51346,0.141,IIP,19.1,51027,319,0.87,6.149999999999999e+25,old_rich,real
SN1998dn,51346,0.117,II,13.7,51044,302,0.83,2.63e+25,old_rich,real
SN1998dn,51834,0.188,II,13.7,51044,790,2.16,4.22e+25,old_rich,real
SN1999D,51236,0.3,II,52.6,51194,42,0.12,9.93e+26,old_rich,real
SN1999D,51480,0.213,II,52.6,51194,286,0.78,7.05e+26,old_rich,real
SN1999em,51487,0.264,IIP,11.5,51475,12,0.03,4.18e+25,old_rich,real
SN1999em,51513,0.162,IIP,11.5,51475,38,0.1,2.56e+25,old_rich,real
SN1999em,51525,0.194,IIP,11.5,51475,50,0.14,3.0699999999999997e+25,old_rich,real
SN1999em,51539,0.128,IIP,11.5,51475,64,0.18,2.03e+25,old_rich,real
SN1999em,51588,0.105,IIP,11.5,51475,113,0.31,1.6599999999999999e+25,old_rich,real
SN1999gi,51525,0.087,IIP,12.4,51518,7,0.02,1.6e+25,old_rich,real
SN1999gi,51731,0.2,IIP,12.4,51518,213,0.58,3.68e+25,old_rich,real
SN1999gi,53020,0.096,IIP,12.4,51518,1502,4.12,1.7699999999999998e+25,old_rich,real
SN1999gq,51555,0.147,IIP,16.7,51535,20,0.05,4.91e+25,old_rich,real
SN1999gq,51555,0.154,IIP,16.7,51535,20,0.05,5.14e+25,old_rich,real
SN2002hh,52583,0.483,II,5.6,52578,5,0.01,1.8099999999999999e+25,old_rich,real
SN2002hh,52585,0.522,II,5.6,52578,7,0.02,1.9599999999999997e+25,old_rich,real
SN2002hh,52585,0.192,II,5.6,52578,7,0.02,7.2e+24,old_rich,real
SN2002hh,52593,0.81,II,5.6,52578,15,0.04,3.0399999999999997e+25,old_rich,real
SN2002hh,52605,1.333,II,5.6,52578,27,0.07,4.999999999999999e+25,old_rich,real
SN2002hh,52613,1.3,II,5.6,52578,35,0.1,4.879999999999999e+25,old_rich,real
SN2003ed,52863,3.697,II,25.2,52759,104,0.28,2.81e+27,old_rich,real
SN2003ed,52997,2.423,II,25.2,52759,238,0.65,1.84e+27,old_rich,real
SN2003ed,53030,2.321,II,25.2,52759,271,0.74,1.76e+27,old_rich,real
SN2003gd,52807,0.24,IIP,8.6,52715,92,0.25,2.12e+25,old_rich,real
SN2003gd,52824,0.2,IIP,8.6,52715,109,0.3,1.7699999999999998e+25,old_rich,real
SN2003gd,52872,0.123,IIP,8.6,52715,157,0.43,1.0899999999999998e+25,old_rich,real
SN2003gd,52917,0.222,IIP,8.6,52715,202,0.55,1.9599999999999997e+25,old_rich,real
SN2003gd,53057,0.2,IIP,8.6,52715,342,0.94,1.7699999999999998e+25,old_rich,real
SN2003ie,53030,0.181,IIP,13.7,52901,129,0.35,4.06e+25,old_rich,real
SN2003ie,53039,0.178,IIP,13.7,52901,138,0.38,3.9999999999999995e+25,old_rich,real
SN2003ie,53258,0.166,IIP,13.7,52901,357,0.98,3.7299999999999995e+25,old_rich,real
SN2003ie,54873,0.171,IIP,13.7,52901,1972,5.4,3.8399999999999997e+25,old_rich,real
SN2004A,53025,0.163,IIP,17.0,53010,15,0.04,5.6399999999999995e+25,old_rich,real
SN2004A,53033,0.442,IIP,17.0,53010,23,0.06,1.53e+26,old_rich,real
SN2004A,53039,0.188,IIP,17.0,53010,29,0.08,6.499999999999999e+25,old_rich,real
SN2004A,53085,0.152,IIP,17.0,53010,75,0.21,5.26e+25,old_rich,real
SN2004A,53117,0.211,IIP,17.0,53010,107,0.29,7.3e+25,old_rich,real
SN2004A,53138,0.194,IIP,17.0,53010,128,0.35,6.709999999999999e+25,old_rich,real
SN2004am,52957,0.34,IIP,3.8,52950,7,0.02,5.87e+24,old_rich,real
SN2004am,52957,1.0,IIP,3.8,52950,7,0.02,1.7299999999999998e+25,old_rich,real
SN2004am,53258,2.529,IIP,3.8,52950,308,0.84,4.37e+25,old_rich,real
SN2004am,53258,3.039,IIP,3.8,52950,308,0.84,5.249999999999999e+25,old_rich,real
SN2004am,53283,0.996,IIP,3.8,52950,333,0.91,1.72e+25,old_rich,real
SN2004et,53278,0.291,IIP,5.6,53270,8,0.02,1.0899999999999998e+25,old_rich,real
SN2004et,53283,0.341,IIP,5.6,53270,13,0.04,1.28e+25,old_rich,real
SN2004et,53283,0.33,IIP,5.6,53270,13,0.04,1.2399999999999998e+25,old_rich,real
SN2004et,53285,0.641,IIP,5.6,53270,15,0.04,2.41e+25,old_rich,real
SN2004et,53290,1.091,IIP,5.6,53270,20,0.05,4.09e+25,old_rich,real
SN2004et,53301,1.316,IIP,5.6,53270,31,0.08,4.939999999999999e+25,old_rich,real
SN2004et,53308,1.866,IIP,5.6,53270,38,0.1,6.999999999999999e+25,old_rich,real
SN2004et,53315,1.993,IIP,5.6,53270,45,0.12,7.479999999999999e+25,old_rich,real
SN2004et,53330,1.798,IIP,5.6,53270,60,0.16,6.749999999999999e+25,old_rich,real
SN2004et,53339,1.919,IIP,5.6,53270,69,0.19,7.1999999999999994e+25,old_rich,real
SN2004et,53349,1.771,IIP,5.6,53270,79,0.22,6.65e+25,old_rich,real
SN2004et,53408,1.081,IIP,5.6,53270,138,0.38,4.06e+25,old_rich,real
SN2004et,53421,1.23,IIP,5.6,53270,151,0.41,4.62e+25,old_rich,real
SN2005U,53409,0.3,IIb,53.1,53398,11,0.03,1.0100000000000001e+27,old_rich,real
SN2005U,53534,1.0,IIb,53.1,53398,136,0.37,3.3700000000000004e+27,old_rich,real
SN2005ay,53475,0.082,IIP,12.7,53450,25,0.07,1.58e+25,old_rich,real
SN2005ay,53534,0.188,IIP,12.7,53450,84,0.23,3.6299999999999998e+25,old_rich,real
SN2005ay,53556,0.12,IIP,12.7,53450,106,0.29,2.32e+25,old_rich,real
SN2005ay,53800,0.12,IIP,12.7,53450,350,0.96,2.32e+25,old_rich,real
SN2005dl,53828,0.521,II,20.4,53607,221,0.61,2.59e+26,old_rich,real
SN2005dl,57648,0.033,II,20.4,53607,4041,11.07,1.6399999999999998e+25,old_rich,real
SN2006bp,53843,0.11,IIP,16.6,53834,9,0.02,3.6299999999999998e+25,old_rich,real
SN2006bp,53843,0.217,IIP,16.6,53834,9,0.02,7.15e+25,old_rich,real
SN2006bp,53843,0.498,IIP,16.6,53834,9,0.02,1.64e+26,old_rich,real
SN2006bp,54003,0.12,IIP,16.6,53834,169,0.46,3.9599999999999994e+25,old_rich,real
SN2006my,54051,0.441,IIP,16.5,53948,103,0.28,1.4399999999999999e+26,old_rich,real
SN2006my,54052,1.5,IIP,16.5,53948,104,0.28,4.8899999999999996e+26,old_rich,real
SN2006my,54052,2.1,IIP,16.5,53948,104,0.28,6.84e+26,old_rich,real
SN2006my,54874,0.423,IIP,16.5,53948,926,2.54,1.38e+26,old_rich,real
SN2006ov,54068,0.396,IIP,14.6,54034,34,0.09,1.01e+26,old_rich,real
SN2006ov,54068,0.138,IIP,14.6,54034,34,0.09,3.5199999999999996e+25,old_rich,real
SN2006ov,54074,0.287,IIP,14.6,54034,40,0.11,7.32e+25,old_rich,real
SN2006ov,54831,0.32,IIP,14.6,54034,797,2.18,8.16e+25,old_rich,real
SN2008ax,54532,1.19,IIb,6.2,54528,4,0.01,5.47e+25,old_rich,real
SN2008ax,54532,5.802,IIb,6.2,54528,4,0.01,2.67e+26,old_rich,real
SN2008ax,54535,3.94,IIb,6.2,54528,7,0.02,1.81e+26,old_rich,real
SN2008ax,54535,6.742,IIb,6.2,54528,7,0.02,3.1e+26,old_rich,real
SN2008ax,54536,4.278,IIb,6.2,54528,8,0.02,1.97e+26,old_rich,real
SN2008ax,54536,2.082,IIb,6.2,54528,8,0.02,9.579999999999999e+25,old_rich,real
SN2008ax,54537,4.63,IIb,6.2,54528,9,0.02,2.13e+26,old_rich,real
SN2008ax,54537,3.016,IIb,6.2,54528,9,0.02,1.3899999999999999e+26,old_rich,real
SN2008ax,54538,4.934,IIb,6.2,54528,10,0.03,2.27e+26,old_rich,real
SN2008ax,54538,2.934,IIb,6.2,54528,10,0.03,1.35e+26,old_rich,real
SN2008ax,54542,4.807,IIb,6.2,54528,14,0.04,2.21e+26,old_rich,real
SN2008ax,54542,2.37,IIb,6.2,54528,14,0.04,1.09e+26,old_rich,real
SN2008ax,54542,3.993,IIb,6.2,54528,14,0.04,1.84e+26,old_rich,real
SN2008ax,54543,4.04,IIb,6.2,54528,15,0.04,1.86e+26,old_rich,real
SN2008ax,54543,1.159,IIb,6.2,54528,15,0.04,5.3299999999999995e+25,old_rich,real
SN2008ax,54543,3.646,IIb,6.2,54528,15,0.04,1.68e+26,old_rich,real
SN2008ax,54544,1.643,IIb,6.2,54528,16,0.04,7.559999999999999e+25,old_rich,real
SN2008ax,54544,4.13,IIb,6.2,54528,16,0.04,1.9e+26,old_rich,real
SN2008ax,54546,2.631,IIb,6.2,54528,18,0.05,1.21e+26,old_rich,real
SN2008ax,54546,3.449,IIb,6.2,54528,18,0.05,1.59e+26,old_rich,real
SN2008ax,54551,1.052,IIb,6.2,54528,23,0.06,4.84e+25,old_rich,real
SN2008ax,54551,2.748,IIb,6.2,54528,23,0.06,1.26e+26,old_rich,real
SN2008ax,54551,3.448,IIb,6.2,54528,23,0.06,1.59e+26,old_rich,real
SN2008ax,54557,0.479,IIb,6.2,54528,29,0.08,2.1999999999999996e+25,old_rich,real
SN2008ax,54557,1.396,IIb,6.2,54528,29,0.08,6.419999999999999e+25,old_rich,real
SN2008ax,54557,2.492,IIb,6.2,54528,29,0.08,1.15e+26,old_rich,real
SN2008ax,54559,0.445,IIb,6.2,54528,31,0.08,2.05e+25,old_rich,real
SN2008ax,54559,1.13,IIb,6.2,54528,31,0.08,5.2e+25,old_rich,real
SN2008ax,54559,1.96,IIb,6.2,54528,31,0.08,9.01e+25,old_rich,real
SN2008ax,54563,0.249,IIb,6.2,54528,35,0.1,1.15e+25,old_rich,real
SN2008ax,54563,0.875,IIb,6.2,54528,35,0.1,4.0199999999999995e+25,old_rich,real
SN2008ax,54563,1.706,IIb,6.2,54528,35,0.1,7.85e+25,old_rich,real
SN2008ax,54568,1.023,IIb,6.2,54528,40,0.11,4.709999999999999e+25,old_rich,real
SN2008ax,54568,1.978,IIb,6.2,54528,40,0.11,9.1e+25,old_rich,real
SN2008ax,54572,1.04,IIb,6.2,54528,44,0.12,4.78e+25,old_rich,real
SN2008ax,54572,1.694,IIb,6.2,54528,44,0.12,7.79e+25,old_rich,real
SN2008ax,54577,0.927,IIb,6.2,54528,49,0.13,4.26e+25,old_rich,real
SN2008ax,54577,1.814,IIb,6.2,54528,49,0.13,8.339999999999999e+25,old_rich,real
SN2008ax,54583,1.382,IIb,6.2,54528,55,0.15,6.36e+25,old_rich,real
SN2008ax,54583,2.68,IIb,6.2,54528,55,0.15,1.23e+26,old_rich,real
SN2008ax,54587,0.341,IIb,6.2,54528,59,0.16,1.57e+25,old_rich,real
SN2008ax,54587,1.028,IIb,6.2,54528,59,0.16,4.729999999999999e+25,old_rich,real
SN2008ax,54587,2.771,IIb,6.2,54528,59,0.16,1.27e+26,old_rich,real
SN2008ax,54594,0.671,IIb,6.2,54528,66,0.18,3.0899999999999998e+25,old_rich,real
SN2008ax,54594,0.812,IIb,6.2,54528,66,0.18,3.7299999999999995e+25,old_rich,real
SN2008ax,54594,1.936,IIb,6.2,54528,66,0.18,8.9e+25,old_rich,real
SN2008ax,54602,0.453,IIb,6.2,54528,74,0.2,2.08e+25,old_rich,real
SN2008ax,54602,1.17,IIb,6.2,54528,74,0.2,5.379999999999999e+25,old_rich,real
SN2008ax,54607,0.511,IIb,6.2,54528,79,0.22,2.35e+25,old_rich,real
SN2008ax,54607,1.581,IIb,6.2,54528,79,0.22,7.269999999999999e+25,old_rich,real
SN2008ax,54610,0.493,IIb,6.2,54528,82,0.22,2.2699999999999998e+25,old_rich,real
SN2008ax,54610,0.98,IIb,6.2,54528,82,0.22,4.51e+25,old_rich,real
SN2008bo,54561,0.234,IIb,19.1,54552,9,0.02,1.0199999999999999e+26,old_rich,real
SN2008bo,54561,0.477,IIb,19.1,54552,9,0.02,2.08e+26,old_rich,real
SN2008bo,54563,0.225,IIb,19.1,54552,11,0.03,9.82e+25,old_rich,real
SN2008bo,54574,0.507,IIb,19.1,54552,22,0.06,2.21e+26,old_rich,real
SN2008bo,54581,0.361,IIb,19.1,54552,29,0.08,1.58e+26,old_rich,real
SN2008bo,54581,0.63,IIb,19.1,54552,29,0.08,2.75e+26,old_rich,real
SN2008bo,54583,0.186,IIb,19.1,54552,31,0.08,8.12e+25,old_rich,real
SN2008bo,54583,0.224,IIb,19.1,54552,31,0.08,9.78e+25,old_rich,real
SN2008bo,54583,0.436,IIb,19.1,54552,31,0.08,1.9e+26,old_rich,real
SN2008bo,54587,0.318,IIb,19.1,54552,35,0.1,1.3899999999999999e+26,old_rich,real
SN2008bo,54587,0.183,IIb,19.1,54552,35,0.1,7.989999999999999e+25,old_rich,real
SN2008bo,54587,0.395,IIb,19.1,54552,35,0.1,1.72e+26,old_rich,real
SN2008bo,54595,0.138,IIb,19.1,54552,43,0.12,6.019999999999999e+25,old_rich,real
SN2008bo,54595,0.365,IIb,19.1,54552,43,0.12,1.59e+26,old_rich,real
SN2008bo,54601,0.275,IIb,19.1,54552,49,0.13,1.2e+26,old_rich,real
SN2008bo,54610,0.156,IIb,19.1,54552,58,0.16,6.809999999999999e+25,old_rich,real
SN2009dd,54937,0.114,II,13.9,54933,4,0.01,2.64e+25,old_rich,real
SN2009dd,54952,0.126,II,13.9,54933,19,0.05,2.91e+25,old_rich,real
SN2009dd,54958,0.06,II,13.9,54933,25,0.07,1.3899999999999999e+25,old_rich,real
SN2010as,55302,2.19,IIb,27.4,55271,31,0.08,1.97e+27,old_rich,real
SN2010as,55311,3.1,IIb,27.4,55271,40,0.11,2.78e+27,old_rich,real
SN2010as,55316,1.7,IIb,27.4,55271,45,0.12,1.53e+27,old_rich,real
SN2010as,55333,1.69,IIb,27.4,55271,62,0.17,1.52e+27,old_rich,real
SN2010as,55375,2.38,IIb,27.4,55271,104,0.28,2.14e+27,old_rich,real
SN2010as,55412,2.27,IIb,27.4,55271,141,0.39,2.0400000000000002e+27,old_rich,real
SN2010as,55443,2.0,IIb,27.4,55271,172,0.47,1.8000000000000002e+27,old_rich,real
SN2010as,55492,1.9,IIb,27.4,55271,221,0.61,1.7100000000000002e+27,old_rich,real
