Name,Band,Freq_GHz,PeakFlux_mJy,RMS_mJy,MJD,Redshift
SN2018hon,S,3.259839184,0.532,0.043,60826.70367,0.081
SN2018hon,C,6.130782434,0.281,0.067,60826.69123,0.081
SN2018hon,X,9.90026963,0.164,0.04,60826.69748,0.081
SN2019aur,S,3.237414104,0.365,0.041,60840.76803,0.0124
SN2019aur,C,6.078159736,0.114,0.026,60867.52214,0.0124
SN2019aur,X,9.904122452,0.054,0.01,60840.79967,0.0124
SN2019njv,S,3.268627396,5.902,0.819,60823.48927,0.01458
SN2019njv,C,6.07147108,4.263,0.909,60823.48383,0.01458
SN2019njv,X,9.809860122,2.779,0.416,60823.47776,0.01458
SN2019pqo,S,3.229787995,2.045,0.106,60827.12607,0.01413
SN2019pqo,C,6.150144717,1.168,0.202,60827.13799,0.01413
SN2019pqo,X,9.882393537,0.72,0.114,60827.13151,0.01413
SN2019wqq,S,3.223341438,5.705,0.765,60881.82798,0.01123
SN2019wqq,C,6.072884003,3.53,0.82,60881.82133,0.01123
SN2019wqq,X,9.898115993,2.276,0.343,60881.81484,0.01123
SN2019yvs,S,3.262017736,0.713,0.088,60828.05281,0.0255
SN2019yvs,C,5.977494536,0.593,0.131,60828.0465,0.0255
SN2019yvs,X,9.708868468,0.403,0.086,60828.04005,0.0255
SN2020adhh,S,3.261569668,1.6,0.279,60852.602,0.022
SN2020adhh,C,6.022433558,1.212,0.335,60852.58782,0.022
SN2020adhh,X,9.863546718,0.858,0.165,60852.54231,0.022
SN2020aqe,S,3.226546815,2.069,0.064,60827.03267,0.01225
SN2020aqe,C,6.113797654,0.55,0.044,60827.01837,0.01225
SN2020aqe,X,9.816711466,0.233,0.051,60826.97592,0.01225
SN2020nec,S,3.239417256,0.048,0.016,60853.5226,0.045
SN2020nec,C,6.071407502,0.014,0.007,60853.51461,0.045
SN2020nec,X,9.853378974,0.01,0.004,60853.4862,0.045
SN2020ywx,S,3.202812379,1.521,0.188,60839.16554,0.0217
SN2020ywx,C,6.100542063,0.894,0.196,60839.15935,0.0217
SN2020ywx,X,9.800796145,0.609,0.088,60839.15283,0.0217
SN2021aefs,S,3.257692298,2.579,0.54,60828.01716,0.01225
SN2021aefs,C,5.989038811,0.674,0.049,60828.0042,0.01225
SN2021aefs,X,9.726608434,0.226,0.059,60827.97547,0.01225
SN2021bmf,S,3.08966485,7.343,0.254,60825.39025,0.04
SN2021bmf,C,6.00601613,4.199,0.95,60825.38417,0.04
SN2021bmf,X,9.538344791,2.831,0.53,60825.37793,0.04
SN2021tcv,S,3.254468316,1.59,0.249,60831.59135,0.017
SN2021tcv,C,6.096344256,1.27,0.275,60831.60443,0.017
SN2021tcv,X,9.870812557,0.85,0.126,60831.5979,0.017
SN2022cb,S,3.29093232,0.888,0.129,60847.77266,0.035
SN2022cb,C,6.197817761,0.667,0.146,60847.76016,0.035
SN2022cb,X,9.901740339,0.368,0.069,60847.78106,0.035
SN2023axu,S,3.127141253,0.333,0.047,60881.8024,0.0028
SN2023axu,C,6.143938992,0.13,0.026,60881.79673,0.0028
SN2023axu,X,9.783347547,0.071,0.026,60881.78991,0.0028
SN2023rky,S,3.222429781,0.333,0.038,60848.41068,0.01519
SN2023rky,C,6.156831194,0.17,0.033,60848.3976,0.01519
SN2023rky,X,9.880151793,0.096,0.022,60848.36748,0.01519
SN2024ehs,S,3.231096891,0.102,0.007,60840.17381,0.00377
SN2024ehs,C,6.156125696,0.029,0.012,60840.16768,0.00377
SN2024ehs,X,9.890243479,0.028,0.014,60840.16137,0.00377